compound_number,feature_number,TIC,mz,rt
56,9,24011.402350,169.013100,6.755600
56,47,1521.347508,321.025100,6.903300
57,10,11631.161836,169.013000,9.860900
57,46,15610.033618,321.024200,9.861600
58,318,3098.903715,609.087750,11.332350
58,321,799.192432,610.091100,11.328750
59,312,3924.721618,601.118100,11.162900
59,314,972.897329,602.119600,11.160600
60,394,1835.355355,891.196100,9.768900
60,396,734.759621,892.200000,9.768900
61,297,2247.008526,589.107400,12.254900
61,299,1217.541780,589.608800,12.253400
62,402,5604.144981,913.179900,2.312000
62,404,2433.696111,914.178900,2.309200
63,365,2273.866029,806.165400,11.555600
63,369,2000.674961,806.667400,11.555600
64,422,4566.051278,1049.195500,8.638400
64,423,2228.680804,1050.200300,8.637100
65,333,1951.789579,723.189700,7.545400
65,335,828.756890,724.191900,7.549000
66,23,20640.119504,265.146900,30.283700
66,24,2006.919961,266.150400,30.291500
67,310,3551.678891,599.103600,8.960600
67,327,1456.812107,665.132300,8.955200
68,195,2152.145388,285.040500,15.166200
68,199,2262.964337,287.055600,15.181700
69,339,3794.321538,730.162900,9.362000
69,340,2945.232552,730.664500,9.358600
70,245,2288.434702,453.044300,10.928400
70,270,768.108064,501.196300,10.943400
71,209,2831.974787,293.211600,27.679200
72,229,1484.696185,433.078000,12.138600
73,293,2004.598905,577.133600,6.734600
74,308,858.676893,597.104800,11.635400
75,194,1852.919162,283.023800,21.099500
76,21,4489.364245,208.027300,2.906300
77,25,5429.648491,273.002300,6.537700
78,105,3968.237236,493.117800,3.630100
79,141,5121.409887,743.110900,10.501500
80,77,1254.020371,411.021600,3.036400
81,38,2003.651785,304.039600,14.527500
82,7,37237.607874,169.013067,1.639000
83,167,16163.976278,137.009400,1.698000
84,186,1946.559265,209.030600,5.964900
85,343,1270.960612,739.183500,6.431500
86,268,7161.075275,489.212700,19.499150
87,204,1972.500095,289.073100,17.112200
88,277,4982.577472,515.174700,13.944250
89,328,5181.419619,675.227300,21.722100
90,290,1500.277531,563.137000,10.222100
91,174,1719.360322,163.040500,7.614000
92,413,1181.417358,988.672100,7.627300
93,356,2748.924266,761.134000,9.966300
94,298,993.841406,589.106800,11.232200
95,81,4881.841924,439.086500,6.434800
96,124,8953.943521,634.082600,10.743700
97,93,3390.626071,465.066700,8.688500
98,170,24342.511016,137.009400,5.405400
99,169,10906.176311,137.009700,1.135500
100,418,3294.656882,1043.206900,9.134500
101,123,1103.979335,625.081900,7.856300
102,40,1053.307343,315.012200,10.932800
103,91,1463.515228,463.084300,13.157900
104,30,11172.487456,295.227267,28.978167
105,399,3361.998615,907.167700,13.247400
106,309,980.148244,597.106100,10.558100
107,236,917.609624,441.081000,11.689000
108,222,1388.813980,329.159100,11.815600
109,182,1092.924271,183.139000,18.730700
110,76,10201.934096,410.102000,26.040150
111,82,4154.200132,447.091100,12.506000
112,373,1097.269093,828.150700,8.373800
113,219,2174.479735,311.202200,31.417000
114,391,1313.596255,891.172800,14.430900
115,304,2335.014431,593.128200,4.610500
116,329,1396.692562,675.359500,27.072300
117,166,57701.230513,137.009725,3.082050
118,147,4322.241783,912.136000,9.139250
119,150,1879.349136,913.141700,10.788500
120,65,1553.067872,348.070200,8.295400
121,49,1034.140977,327.215000,18.564000
122,173,35308.925201,137.009400,3.913600
123,185,9313.826623,207.078100,3.331300
124,168,33114.826815,137.009467,4.811333
125,196,2621.769057,285.061600,5.817900
126,172,43001.525348,137.009800,3.558250
127,342,1193.259632,738.661500,8.858800
128,120,4694.984905,609.144400,11.117000
129,341,1765.739448,738.159300,9.008900
130,412,1227.990164,988.172100,7.634500
131,337,799.025780,729.146100,11.896400
132,191,2523.693031,269.044950,16.811850
133,226,893.604879,345.154900,10.776200
134,184,1976.390770,195.087300,24.708800
135,291,1144.169487,563.142000,9.897500
136,275,1026.157619,513.102700,12.285500
137,295,651.616807,587.118000,18.090200
138,35,5680.453956,300.997600,10.673000
139,106,1059.962680,493.118900,2.975600
140,31,17571.197006,297.152400,30.542300
141,171,32403.503771,137.009550,4.305600
142,66,4058.136207,352.041500,6.601400
143,18,5251.763613,203.081450,5.074450
144,74,2855.409993,391.944900,1.704900
145,3,22129.053690,125.023750,1.701500
146,2,2124.926535,123.007000,1.712900
147,320,1200.078330,609.121700,5.015100
148,115,1774.217482,589.083000,8.725800
149,246,3057.687598,453.102900,9.076800
150,165,22825.762932,137.009600,2.554800
151,334,1641.864030,723.190500,8.694400
152,393,2895.132620,891.194400,7.112900
153,425,1273.225453,1065.187500,5.878700
154,344,1176.241250,739.183900,7.677000
155,414,633.701452,1021.232800,13.970800
156,267,1478.842802,487.106300,5.310600
157,397,1123.528897,897.188200,4.239500
158,223,2052.244834,329.232200,19.841000
159,313,1525.398408,601.116500,10.657300
160,326,507.309406,635.087600,9.544400
161,70,2393.857363,382.984900,22.457600
162,200,1362.104309,287.221800,20.258500
163,148,2627.475983,912.637200,9.073700
164,45,1516.581118,319.044600,4.293500
165,54,4442.703394,331.064800,5.942400
166,261,3628.715082,477.103100,11.350800
167,325,2454.187981,617.113700,8.621000
