"sample","Species_code_sample","RT","MZ","PC_ID","TIC"
"DN1686","M4_1686_2",1.2503,580.1596,"M4_79",3260.51699248448
"DN1686","M4_1686_2",8.7258,589.083,"M4_128",1667.73254198364
"DN1686","M4_1686_2",8.7128,591.098,"M4_44",8243.42609578445
"DN1686","M4_1686_2",8.7127,592.1015,"M4_44",2327.47758824477
"DN1686","M4_1686_2",11.0051,609.0873,"M4_2",20340.2762790525
"DN1686","M4_1686_2",10.8295,609.0876,"M4_31",20066.2706575
"DN1686","M4_1686_2",12.0684,609.0885,"M4_54",8760.881935834
"DN1686","M4_1686_2",11.117,609.1444,"M4_58",60.5199999999997
"DN1686","M4_1686_2",10.8262,610.0908,"M4_31",5563.64083359727
"DN1686","M4_1686_2",11.0069,610.0907,"M4_2",5932.40507583006
"DN1686","M4_1686_2",12.0735,610.0913,"M4_54",2349.49474836313
"DN1686","M4_1686_2",7.8563,625.0819,"M4_118",572.563549642462
"DN1686","M4_1686_2",10.7437,634.0826,"M4_64",15093.4705710371
"DN1686","M4_1686_2",10.7369,635.0875,"M4_6",5082.36815822448
"DN1686","M4_1686_2",10.7223,636.0977,"M4_6",60879.9899856718
"DN1686","M4_1686_2",12.0445,636.0988,"M4_69",14074.6035073228
"DN1686","M4_1686_2",10.2121,636.0993,"M4_96",7083.045872073
"DN1686","M4_1686_2",10.721,637.1014,"M4_6",19476.2654735371
"DN1686","M4_1686_2",10.7236,638.1038,"M4_6",4101.55928721326
"DN1686","M4_1686_2",10.7402,652.0935,"M4_6",5171.83629824613
"DN1686","M4_1686_2",10.7225,658.0801,"M4_6",5854.95935109456
"DN1686","M4_1686_2",6.4932,665.162,"M4_1",30415.6887004396
"DN1686","M4_1686_2",6.4932,666.1659,"M4_1",9731.68273587796
"DN1686","M4_1686_2",10.7421,670.1037,"M4_6",5831.93659808777
"DN1686","M4_1686_2",6.5023,679.1405,"M4_1",3493.63291814678
"DN1686","M4_1686_2",6.4906,687.1438,"M4_1",3490.4562729492
