species_sample,compound_number,TIC
T69_1423,90,5192.678757
T69_1423,91,10163.641907
T69_1423,92,16877.676758
T69_1423,93,18455.883545
T69_1423,94,1958.372192
T69_1423,100,15180.337006
T69_1423,104,7302.056427
T69_1423,105,9087.239807
T69_1423,106,785.878357
T69_1423,107,179612.799194
T69_1423,108,9410.227997
T69_1423,109,4202.642578
T69_1423,110,10948.793701
T69_1423,112,12377.065277
T69_1423,113,14040.183533
T69_1423,115,8868.025452
T69_1423,118,1710.093109
T69_1423,119,4597.826050
T69_1423,121,8422.669617
T69_1423,123,52306.597412
T69_1423,125,41375.070679
T69_1423,127,6786.480896
T69_1423,129,9641.536255
T69_1423,130,14573.540527
T69_1423,132,6246.294922
T69_1423,133,10446.968140
T69_1423,135,5266.293854
T69_1423,138,2634.474152
T69_1423,143,3390.004578
T69_1423,145,49505.666748
T69_1423,146,1160.547668
T69_1423,147,11325.255859
T69_1423,149,12012.211426
T69_1423,151,2528.132141
T69_1423,152,6905.192017
T69_1423,153,12522.820190
T69_1423,154,956.021210
T69_1423,157,9003.387329
T69_1423,158,9532.052612
T69_1423,159,12677.019287
T69_1423,161,2465.915833
T69_1423,162,7447.611328
T69_1423,163,2597.152649
T69_1423,166,15685.822021
T69_1423,167,6504.178894
T69_1422,1,3426431.010162
T69_1422,3,1730201.288467
T69_1422,6,725709.005707
T69_1422,7,357196.874847
T69_1422,8,2491368.689819
T69_1422,9,15661.800171
T69_1422,11,168315.900635
T69_1422,12,109415.000763
T69_1422,13,41020.707794
T69_1422,14,165378.360748
T69_1422,15,25634.640442
T69_1422,16,336786.921753
T69_1422,17,87561.676895
T69_1422,18,4945.009216
T69_1422,19,49262.477783
T69_1422,20,4719.703613
T69_1422,21,45283.265350
T69_1422,22,31279.497040
T69_1422,23,4945.009216
T69_1422,24,6667.649323
T69_1422,25,26390.238647
T69_1422,26,266575.019653
T69_1422,27,39406.883560
T69_1422,28,1342.049988
T69_1422,29,143246.071350
T69_1422,30,34556.651184
T69_1422,32,19421.519562
T69_1422,33,85616.915588
T69_1422,35,5481.826813
T69_1422,38,29882.581879
T69_1422,39,12310.746460
T69_1422,41,8154.562866
T69_1422,42,17238.859283
T69_1422,43,526014.856689
T69_1422,44,43906.514130
T69_1422,45,46771.061646
T69_1422,46,38004.510376
T69_1422,47,55776.730042
T69_1422,49,5579.521667
T69_1422,51,42765.408142
T69_1422,53,27688.389160
T69_1422,54,3808.239807
T69_1422,56,20288.274353
T69_1422,58,18896.321808
T69_1422,59,63039.508179
T69_1422,60,5804.555969
T69_1422,61,19481.424072
T69_1422,62,46462.889099
T69_1422,63,35332.531952
T69_1422,64,54749.700134
T69_1422,65,7090.760986
T69_1422,67,48785.739655
T69_1422,68,16860.161865
