feature_number,sample,rt,mz,PC_ID,TIC
41,DN734,10.993900,316.019800,M4_2,3118.590078
42,DN1686,9.016600,316.992800,M4_3,2918.413020
42,DN1689,9.016600,316.992800,M4_3,1103.736346
42,DN732,9.016600,316.992800,M4_3,3653.306207
42,DN733,9.016600,316.992800,M4_3,2739.121760
42,DN734,9.016600,316.992800,M4_3,1757.135220
43,DN1686,6.496300,316.991900,M4_1,1584.513160
43,DN1689,6.496300,316.991900,M4_1,851.314032
43,DN732,6.496300,316.991900,M4_1,3631.886869
43,DN733,6.496300,316.991900,M4_1,2810.054790
43,DN734,6.496300,316.991900,M4_1,1733.770369
44,DN1686,10.957000,317.026500,M4_68,4550.422836
44,DN1689,10.957000,317.026500,M4_68,3523.103156
44,DN732,10.957000,317.026500,M4_68,1739.361981
44,DN733,10.957000,317.026500,M4_68,2232.904769
44,DN734,10.957000,317.026500,M4_68,1394.661007
45,DN1686,4.293500,319.044600,M4_88,455.017114
45,DN1689,4.293500,319.044600,M4_88,615.310460
45,DN732,4.293500,319.044600,M4_88,6272.937567
45,DN733,4.293500,319.044600,M4_88,239.640448
45,DN734,4.293500,319.044600,M4_88,0.000000
46,DN1686,9.861600,321.024200,M4_57,12694.486303
46,DN1689,9.861600,321.024200,M4_57,2198.203246
46,DN732,9.861600,321.024200,M4_57,25306.930978
46,DN733,9.861600,321.024200,M4_57,23095.324514
46,DN734,9.861600,321.024200,M4_57,14755.223048
47,DN1686,6.903300,321.025100,M4_56,623.522970
47,DN1689,6.903300,321.025100,M4_56,381.482099
47,DN732,6.903300,321.025100,M4_56,3742.318114
47,DN733,6.903300,321.025100,M4_56,2172.825167
47,DN734,6.903300,321.025100,M4_56,686.589190
48,DN1686,6.514200,321.024000,M4_1,2668.125864
48,DN1689,6.514200,321.024000,M4_1,1753.561232
48,DN732,6.514200,321.024000,M4_1,7946.029044
48,DN733,6.514200,321.024000,M4_1,7782.005598
48,DN734,6.514200,321.024000,M4_1,3216.316503
49,DN1686,18.564000,327.215000,M4_102,46.996757
49,DN1689,18.564000,327.215000,M4_102,701.488315
49,DN732,18.564000,327.215000,M4_102,210.009168
49,DN733,18.564000,327.215000,M4_102,2951.381835
49,DN734,18.564000,327.215000,M4_102,1260.828809
50,DN1686,1.524800,329.049100,M4_7,3366.838556
50,DN1689,1.524800,329.049100,M4_7,776.038568
50,DN732,1.524800,329.049100,M4_7,1116.808109
50,DN733,1.524800,329.049100,M4_7,655.372944
50,DN734,1.524800,329.049100,M4_7,227.963303
51,DN1686,6.510900,330.059900,M4_1,18914.544711
51,DN1689,6.510900,330.059900,M4_1,19517.760508
51,DN732,6.510900,330.059900,M4_1,28045.563472
51,DN733,6.510900,330.059900,M4_1,27831.445662
51,DN734,6.510900,330.059900,M4_1,25148.359153
52,DN1686,6.500400,331.064100,M4_1,3744.366816
52,DN1689,6.500400,331.064100,M4_1,2342.374318
52,DN732,6.500400,331.064100,M4_1,4889.639841
52,DN733,6.500400,331.064100,M4_1,4067.283001
52,DN734,6.500400,331.064100,M4_1,4305.431012
53,DN1686,1.537100,331.065400,M4_7,77457.353187
53,DN1686,1.537100,331.065400,M4_7,77457.353187
53,DN1686,1.537100,331.065400,M4_7,77457.353187
53,DN1689,1.537100,331.065400,M4_7,39158.448497
53,DN1689,1.537100,331.065400,M4_7,39158.448497
53,DN1689,1.537100,331.065400,M4_7,39158.448497
53,DN732,1.537100,331.065400,M4_7,28712.342395
53,DN732,1.537100,331.065400,M4_7,28712.342395
53,DN732,1.537100,331.065400,M4_7,28712.342395
53,DN733,1.537100,331.065400,M4_7,12729.775607
53,DN733,1.537100,331.065400,M4_7,12729.775607
53,DN733,1.537100,331.065400,M4_7,12729.775607
53,DN734,1.537100,331.065400,M4_7,5988.219682
53,DN734,1.537100,331.065400,M4_7,5988.219682
53,DN734,1.537100,331.065400,M4_7,5988.219682
54,DN1686,5.942400,331.064800,M4_80,10476.233928
54,DN1689,5.942400,331.064800,M4_80,2493.375745
54,DN732,5.942400,331.064800,M4_80,5987.346552
54,DN733,5.942400,331.064800,M4_80,1911.531814
54,DN734,5.942400,331.064800,M4_80,1345.028933
55,DN1686,6.508200,332.076100,M4_1,398112.423528
55,DN1689,6.508200,332.076100,M4_1,372419.638001
55,DN732,6.508200,332.076100,M4_1,410740.874060
55,DN733,6.508200,332.076100,M4_1,364259.121791
55,DN734,6.508200,332.076100,M4_1,276380.509631
56,DN1686,10.729500,332.075300,M4_6,48956.997304
56,DN1689,10.729500,332.075300,M4_6,24011.486038
56,DN732,10.729500,332.075300,M4_6,27547.772666
56,DN733,10.729500,332.075300,M4_6,20778.162634
56,DN734,10.729500,332.075300,M4_6,26383.148191
57,DN1686,9.002300,332.076100,M4_3,551742.551665
57,DN1689,9.002300,332.076100,M4_3,402857.325999
57,DN732,9.002300,332.076100,M4_3,532395.957590
57,DN733,9.002300,332.076100,M4_3,527015.603239
57,DN734,9.002300,332.076100,M4_3,310229.148624
58,DN1686,1.527600,332.068400,M4_7,9557.769573
58,DN1689,1.527600,332.068400,M4_7,4700.907451
58,DN732,1.527600,332.068400,M4_7,2914.883542
58,DN733,1.527600,332.068400,M4_7,1600.796151
58,DN734,1.527600,332.068400,M4_7,394.884007
59,DN1686,6.508200,333.079200,M4_1,66994.254537
59,DN1689,6.508200,333.079200,M4_1,55852.458312
59,DN732,6.508200,333.079200,M4_1,70821.195289
